name,ticker_yahoo,sector
3M,MMM,Industrials
A. O. Smith,AOS,Industrials
Abbott Laboratories,ABT,Health Care
AbbVie,ABBV,Health Care
Accenture,ACN,Information Technology
Adobe Inc.,ADBE,Information Technology
Advanced Micro Devices,AMD,Information Technology
AES Corporation,AES,Utilities
Aflac,AFL,Financials
Agilent Technologies,A,Health Care
Air Products,APD,Materials
Airbnb,ABNB,Consumer Discretionary
Akamai Technologies,AKAM,Information Technology
Albemarle Corporation,ALB,Materials
Alexandria Real Estate Equities,ARE,Real Estate
Align Technology,ALGN,Health Care
Allegion,ALLE,Industrials
Alliant Energy,LNT,Utilities
Allstate,ALL,Financials
Alphabet Inc. (Class A),GOOGL,Communication Services
Alphabet Inc. (Class C),GOOG,Communication Services
Altria,MO,Consumer Staples
Amazon,AMZN,Consumer Discretionary
Amcor,AMCR,Materials
Ameren,AEE,Utilities
American Electric Power,AEP,Utilities
American Express,AXP,Financials
American International Group,AIG,Financials
American Tower,AMT,Real Estate
American Water Works,AWK,Utilities
Ameriprise Financial,AMP,Financials
Ametek,AME,Industrials
Amgen,AMGN,Health Care
Amphenol,APH,Information Technology
Analog Devices,ADI,Information Technology
Aon plc,AON,Financials
APA Corporation,APA,Energy
Apollo Global Management,APO,Financials
Apple Inc.,AAPL,Information Technology
Applied Materials,AMAT,Information Technology
AppLovin,APP,Information Technology
Aptiv,APTV,Consumer Discretionary
Arch Capital Group,ACGL,Financials
Archer Daniels Midland,ADM,Consumer Staples
Ares Management,ARES,Financials
Arista Networks,ANET,Information Technology
Arthur J. Gallagher & Co.,AJG,Financials
Assurant,AIZ,Financials
AT&T,T,Communication Services
Atmos Energy,ATO,Utilities
Autodesk,ADSK,Information Technology
Automatic Data Processing,ADP,Industrials
AutoZone,AZO,Consumer Discretionary
AvalonBay Communities,AVB,Real Estate
Avery Dennison,AVY,Materials
Axon Enterprise,AXON,Industrials
Baker Hughes,BKR,Energy
Ball Corporation,BALL,Materials
Bank of America,BAC,Financials
Baxter International,BAX,Health Care
Becton Dickinson,BDX,Health Care
Berkshire Hathaway,BRK-B,Financials
Best Buy,BBY,Consumer Discretionary
Bio-Techne,TECH,Health Care
Biogen,BIIB,Health Care
BlackRock,BLK,Financials
Blackstone Inc.,BX,Financials
"Block, Inc.",XYZ,Financials
BNY Mellon,BNY,Financials
Boeing,BA,Industrials
Booking Holdings,BKNG,Consumer Discretionary
Boston Scientific,BSX,Health Care
Bristol Myers Squibb,BMY,Health Care
Broadcom,AVGO,Information Technology
Broadridge Financial Solutions,BR,Industrials
Brown & Brown,BRO,Financials
Brown–Forman,BF-B,Consumer Staples
Builders FirstSource,BLDR,Industrials
Bunge Global,BG,Consumer Staples
"BXP, Inc.",BXP,Real Estate
C.H. Robinson,CHRW,Industrials
Cadence Design Systems,CDNS,Information Technology
Camden Property Trust,CPT,Real Estate
Capital One,COF,Financials
Cardinal Health,CAH,Health Care
Carnival Corporation,CCL,Consumer Discretionary
Carrier Global,CARR,Industrials
Carvana,CVNA,Consumer Discretionary
Casey's,CASY,Consumer Staples
Caterpillar Inc.,CAT,Industrials
Cboe Global Markets,CBOE,Financials
CBRE Group,CBRE,Real Estate
CDW Corporation,CDW,Information Technology
Cencora,COR,Health Care
Centene Corporation,CNC,Health Care
CenterPoint Energy,CNP,Utilities
CF Industries,CF,Materials
Charles River Laboratories,CRL,Health Care
Charles Schwab Corporation,SCHW,Financials
Charter Communications,CHTR,Communication Services
Chevron Corporation,CVX,Energy
Chipotle Mexican Grill,CMG,Consumer Discretionary
Chubb Limited,CB,Financials
Church & Dwight,CHD,Consumer Staples
Ciena,CIEN,Information Technology
Cigna,CI,Health Care
Cincinnati Financial,CINF,Financials
Cintas,CTAS,Industrials
Cisco,CSCO,Information Technology
Citigroup,C,Financials
Citizens Financial Group,CFG,Financials
Clorox,CLX,Consumer Staples
CME Group,CME,Financials
CMS Energy,CMS,Utilities
Coca-Cola Company (The),KO,Consumer Staples
Cognizant,CTSH,Information Technology
Coherent Corp.,COHR,Information Technology
Coinbase,COIN,Financials
Colgate-Palmolive,CL,Consumer Staples
Comcast,CMCSA,Communication Services
Comfort Systems USA,FIX,Industrials
ConocoPhillips,COP,Energy
Consolidated Edison,ED,Utilities
Constellation Brands,STZ,Consumer Staples
Constellation Energy,CEG,Utilities
Cooper Companies (The),COO,Health Care
Copart,CPRT,Industrials
Corning Inc.,GLW,Information Technology
Corpay,CPAY,Financials
Corteva,CTVA,Materials
CoStar Group,CSGP,Real Estate
